feature,mse,mae
Flow ID,1.0007703531321217,0.8609816016204814
Src IP,1.0455775307710886,0.6277952572208185
Src Port,1.11664475720208,0.9503887085266065
Dst IP,1.0037774245140467,0.40456383792266715
Dst Port,1.2128746216656825,0.5102638698955924
Protocol,1.3792770310285893,0.9017900544133123
Timestamp,1.2538523899361542,0.8407303197899069
Flow Duration,1.0998270588601906,0.32799737491150416
Tot Fwd Pkts,1.0043214586401787,0.06615067793665208
Tot Bwd Pkts,1.0009365483859305,0.07733600499042483
TotLen Fwd Pkts,1.0029892645004213,0.051457875104293636
TotLen Bwd Pkts,1.0076186591609726,0.08531882164199424
Fwd Pkt Len Max,1.070656943783765,0.26419481761215097
Fwd Pkt Len Min,1.0067114373141308,0.21771275083640107
Fwd Pkt Len Mean,1.002039530893845,0.1856925972008843
Fwd Pkt Len Std,1.010782684262299,0.12856985894612794
Bwd Pkt Len Max,1.0009092506233705,0.21577780854235817
Bwd Pkt Len Min,1.0470025343683973,0.2701070267942282
Bwd Pkt Len Mean,1.0463441441976515,0.26892769682993567
Bwd Pkt Len Std,1.017435916716075,0.29215834046833056
Flow Byts/s,1.0226035217154759,0.1496291251055668
Flow Pkts/s,1.0116632979131024,0.6191153521549082
Flow IAT Mean,1.0696537284966179,0.28694216022150604
Flow IAT Std,1.0521929392069915,0.339135887248854
Flow IAT Max,1.2158901879351183,0.4642817808647938
Flow IAT Min,1.0026805268903916,0.050556787766793884
Fwd IAT Tot,1.0238093498132919,0.19923132060043305
Fwd IAT Mean,1.0011903683607573,0.23090002800482254
Fwd IAT Std,1.0470720826872237,0.2154278997589515
Fwd IAT Max,1.0022569665053562,0.2675641198997042
Fwd IAT Min,1.0064679795745768,0.07679972589880722
Bwd IAT Tot,1.0834895276293863,0.3150506665457436
Bwd IAT Mean,1.0849895065222017,0.29317781909926155
Bwd IAT Std,1.0027751236153946,0.4722629038253033
Bwd IAT Max,1.0133475048873455,0.4416400449337397
Bwd IAT Min,1.0424270599814358,0.20562597280385544
Fwd PSH Flags,0.015455140784492229,0.12353359773612371
Bwd PSH Flags,1.0421768191519485,0.28257193481238785
Fwd URG Flags,0.08569287949715163,0.2916481860337904
Bwd URG Flags,1.0235471702105905,0.15312990525847586
Fwd Header Len,1.060236045765614,0.2451425554466528
Bwd Header Len,1.0042972366931822,0.0667150210104324
Fwd Pkts/s,1.0066416247611414,0.08480320983934664
Bwd Pkts/s,1.0547707248633562,0.5189047057751343
Pkt Len Min,1.0372678601698682,0.3649220428205399
Pkt Len Max,1.038317962144765,0.19427904842445967
Pkt Len Mean,1.0210371713797433,0.3401144026670098
Pkt Len Std,1.017542599869346,0.2820717645818773
Pkt Len Var,1.002714732039639,0.12202877020112765
FIN Flag Cnt,1.1020980705935217,0.46296477031370753
SYN Flag Cnt,1.0186948952854542,0.8021765910976503
RST Flag Cnt,1.0113747542167772,0.10621223839126631
PSH Flag Cnt,1.0151980871043111,0.35023346893453156
ACK Flag Cnt,1.3059087689349629,0.6554424148684295
URG Flag Cnt,1.0115742554554787,0.12623729107968706
CWE Flag Count,0.04378946470488327,0.2086281198213829
ECE Flag Cnt,0.01235303955029626,0.11022672069291631
Down/Up Ratio,1.1092348355803392,0.7625306870135421
Pkt Size Avg,1.0633444040535032,0.30372993112516633
Fwd Seg Size Avg,1.0023273998529312,0.1816589048297029
Bwd Seg Size Avg,1.07123548650314,0.2697120950860473
Fwd Byts/b Avg,0.0019284186843114592,0.04030628315026503
Fwd Pkts/b Avg,0.0006011554407684652,0.01981563052583825
Fwd Blk Rate Avg,0.00862626562069934,0.09164740554349977
Bwd Byts/b Avg,0.001780804052597899,0.03353982514881841
Bwd Pkts/b Avg,0.00037696888042327984,0.01554223362520261
Bwd Blk Rate Avg,0.001539980483055161,0.03707500786753209
Subflow Fwd Pkts,1.0195084323141326,0.20130687064657882
Subflow Fwd Byts,1.0070386888232987,0.08366077780024068
Subflow Bwd Pkts,1.0312445019544536,0.1761045027710555
Subflow Bwd Byts,1.0404114153078514,0.24054443882490148
Init Fwd Win Byts,0.1203744563320345,0.3466528917341574
Init Bwd Win Byts,1.086231772859095,0.3309763860673997
Fwd Act Data Pkts,1.002665973965664,0.08654984050398087
Fwd Seg Size Min,0.015210563037110401,0.12263095365428751
Active Mean,1.0270052087646504,0.16345137525705167
Active Std,1.0003695122967449,0.1161453098483446
Active Max,1.001258449764304,0.15269990560889551
Active Min,1.000491881609064,0.13629053656062035
Idle Mean,1.0672265087293153,0.3173919982156472
Idle Std,1.0015909892454191,0.20000447511380515
Idle Max,1.1470578011022903,0.38291362104224946
Idle Min,1.0538537735556663,0.3270491916384081
Label,1.5032612148227877,1.046996356875666
